"","Names","Links","url","dob"
"1920.1","HARTWEG Niklas","/athletes/id/btsui10103200001/","https://www.biathlonworld.com/athletes/id/btsui10103200001/",2000-03-01 00:00:00
"1920.2","GROTIAN Tim","/athletes/id/btger11002199801/","https://www.biathlonworld.com/athletes/id/btger11002199801/",1998-02-10 00:00:00
"1920.3","BIONAZ Didier","/athletes/id/btita12202200001/","https://www.biathlonworld.com/athletes/id/btita12202200001/",2000-02-22 00:00:00
"1920.4","GIACOMEL Tommaso","/athletes/id/btita10504200001/","https://www.biathlonworld.com/athletes/id/btita10504200001/",2000-04-05 00:00:00
"1920.5","MAHON Sebastien","/athletes/id/btfra10810199901/","https://www.biathlonworld.com/athletes/id/btfra10810199901/",1999-10-08 00:00:00
"1920.6","DESMUS Guillaume","/athletes/id/btfra11610199901/","https://www.biathlonworld.com/athletes/id/btfra11610199901/",1999-10-16 00:00:00
"1920.7","BRIFFAZ Thomas","/athletes/id/btfra12104200001/","https://www.biathlonworld.com/athletes/id/btfra12104200001/",2000-04-21 00:00:00
"1920.8","CISAR Alex","/athletes/id/btslo10504200001/","https://www.biathlonworld.com/athletes/id/btslo10504200001/",2000-04-05 00:00:00
"1920.9","BARCHEWITZ Max","/athletes/id/btger10511199801/","https://www.biathlonworld.com/athletes/id/btger10511199801/",1998-11-05 00:00:00
"1920.10","MARECEK Jonas","/athletes/id/btcze11302200101/","https://www.biathlonworld.com/athletes/id/btcze11302200101/",2001-02-13 00:00:00
"1920.11","MONNEY Pierre","/athletes/id/btfra12204199901/","https://www.biathlonworld.com/athletes/id/btfra12204199901/",1999-04-22 00:00:00
"1920.12","SEROKHVOSTOV Daniil","/athletes/id/btrus10404199902/","https://www.biathlonworld.com/athletes/id/btrus10404199902/",1999-04-04 00:00:00
"1920.13","PLANKO Lovro","/athletes/id/btslo12805200101/","https://www.biathlonworld.com/athletes/id/btslo12805200101/",2001-05-28 00:00:00
"1920.14","MEUNIER Ambroise","/athletes/id/btfra10502199901/","https://www.biathlonworld.com/athletes/id/btfra10502199901/",1999-02-05 00:00:00
"1920.15","HOLLANDT Julian","/athletes/id/btger12603199801/","https://www.biathlonworld.com/athletes/id/btger12603199801/",1998-03-26 00:00:00
"1920.16","FAUNER Daniele","/athletes/id/btita10208199901/","https://www.biathlonworld.com/athletes/id/btita10208199901/",1999-08-02 00:00:00
"1920.17","BRAUNHOFER Patrick","/athletes/id/btita11904199801/","https://www.biathlonworld.com/athletes/id/btita11904199801/",1998-04-19 00:00:00
"1920.18","MIKYSKA Tomas","/athletes/id/btcze10202200001/","https://www.biathlonworld.com/athletes/id/btcze10202200001/",2000-02-02 00:00:00
"1920.19","LOMBARDOT Oscar","/athletes/id/btfra12304200001/","https://www.biathlonworld.com/athletes/id/btfra12304200001/",2000-04-23 00:00:00
"1920.20","LIPOWITZ Philipp","/athletes/id/btger12905199901/","https://www.biathlonworld.com/athletes/id/btger12905199901/",1999-05-29 00:00:00
"1920.21","KOCIAN Jakub","/athletes/id/btcze11608200001/","https://www.biathlonworld.com/athletes/id/btcze11608200001/",2000-08-16 00:00:00
"1920.22","KIREYEV Vladislav","/athletes/id/btkaz12409200001/","https://www.biathlonworld.com/athletes/id/btkaz12409200001/",2000-09-24 00:00:00
"1920.23","REPNIK Matic","/athletes/id/btslo12802200101/","https://www.biathlonworld.com/athletes/id/btslo12802200101/",2001-02-28 00:00:00
"1920.24","AOLAID Marten","/athletes/id/btest12505199901/","https://www.biathlonworld.com/athletes/id/btest12505199901/",1999-05-25 00:00:00
"1920.25","ZAWOL Marcin","/athletes/id/btpol12905200201/","https://www.biathlonworld.com/athletes/id/btpol12905200201/",2002-05-29 00:00:00
